1,,"Kevin De Bruyne Manchester City, 28, M(CLR),FW",2,169,-,3,-,-,2.5,81.9,-,1,8.63
2,,"Raheem Sterling Manchester City, 24, M(CLR),FW",2,180,4,-,2,-,5.0,81.7,1,-,8.56
3,,"Teemu Pukki Norwich, 29, AM(C),FW",2,173,4,-,-,-,5.0,79.2,-,1,8.5
4,,"Ashley Barnes Burnley, 29, AM(CL),FW",2,174,3,-,1,-,4.5,54.1,5.5,1,8.45
5,,"Roberto Firmino Liverpool, 27, M(CLR),FW",2,176,1,1,-,-,3.0,75.4,1,-,8.11
6,,"Anthony Martial Manchester United, 23, AM(LR),FW",2,180,2,-,1,-,2.5,80.9,-,1,7.88
7,,"Ricardo Pereira Leicester, 25, D(LR),M(R)",2,180,-,-,-,-,1.0,83.3,1,-,7.86
8,,"Riyad Mahrez Manchester City, 28, AM(CLR)",1(1),100,-,2,-,-,1.5,84.1,-,1,7.86
9,,"Aaron Wan-Bissaka Manchester United, 21, D(R)",2,180,-,-,1,-,0.5,84.7,0.5,-,7.85
10,,"Erik Lamela Tottenham, 27, AM(CLR)",2,173,1,1,1,-,2.5,82.8,-,-,7.8
11,,"Ainsley Maitland-Niles Arsenal, 21, D(LR),M(CLR)",2,180,-,1,-,-,0.5,84.3,2,1,7.74
12,,"Johann Gudmundsson Burnley, 28, AM(CLR)",2,162,1,-,-,-,1,48.3,0.5,-,7.73
13,,"Tanguy Ndombele Tottenham, 22, DMC",2,180,1,1,-,-,1,86.1,-,-,7.68
14,,"Virgil van Dijk Liverpool, 28, D(C)",2,180,1,-,-,-,0.5,86.3,4,1,7.67
15,,"Bernardo Silva Manchester City, 25, AM(CLR)",1,80,-,-,-,-,5,84.8,1,-,7.63
16,,"Lucas Moura Tottenham, 27, AM(CLR),FW",1(1),124,1,1,-,-,2,80.0,2,-,7.63
17,,"Marcus Rashford Manchester United, 21, AM(LR),FW",2,175,2,1,-,-,3,75.0,-,1,7.62
18,,"Lewis Dunk Brighton, 27, D(C)",2,180,-,1,1,-,0.5,87.3,2,-,7.61
19,,"Erik Pieters Burnley, 31, D(L),M(L)",2,180,-,2,-,-,1,54.8,0.5,-,7.58
20,,"Harry Maguire Manchester United, 26, D(C)",2,180,-,-,-,-,-,89.0,5,-,7.57
21,,"Rodrigo Manchester City, 23, DMC",2,168,-,-,-,-,0.5,93.8,3.5,-,7.56
22,,"Yerry Mina Everton, 24, D(C)",2,180,-,-,-,-,-,85.7,4.5,-,7.53
23,,"Mason Mount Chelsea, 20, AM(C)",2,180,1,-,-,-,3.5,82.9,1.0,1,7.52
24,,"Michael Keane Everton, 26, D(CR)",2,180,-,-,-,-,-,84.1,5.0,1,7.52
25,,"John Stones Manchester City, 25, D(CR)",1,90,-,-,-,-,-,94.2,1.0,-,7.5
